time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-06-19T12:57:18.191Z,62.6273,-148.9014,44,3.2,ml,,,,0.64,ak,ak16206491,2017-06-19T13:07:35.704Z,"70km ENE of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-06-19T12:35:21.540Z,36.1866,-98.9393,6.89,2.7,mb_lg,,93,0.199,0.71,us,us20009nku,2017-06-20T05:03:45.238Z,"16km N of Taloga, Oklahoma",earthquake,1.6,7.6,0.057,80,reviewed,us,us
2017-06-19T11:26:58.710Z,36.075,-89.803,8.59,2.68,md,64,38,0.061,0.14,nm,nm60172172,2017-06-20T02:42:00.790Z,"2km ESE of Steele, Missouri",earthquake,0.18,0.41,0.144,43,reviewed,nm,nm
2017-06-19T10:32:30.520Z,12.6991,144.3223,10,4.6,mb,,65,1.032,1.33,us,us20009nkf,2017-06-19T11:15:36.389Z,"73km SSW of Merizo Village, Guam",earthquake,6.8,1.7,0.132,17,reviewed,us,us
2017-06-19T09:15:43.570Z,-20.7303,-176.4767,263.52,5.8,mww,,51,5.96,1.48,us,us20009nju,2017-06-20T21:42:26.040Z,"139km WNW of Havelu, Tonga",earthquake,8.4,5.6,,,reviewed,us,us
2017-06-19T07:13:08.400Z,-15.1206,-173.5304,10,4.9,mb,,83,2.081,0.89,us,us20009njc,2017-06-19T07:46:24.040Z,"94km NNE of Hihifo, Tonga",earthquake,10.8,1.9,0.04,192,reviewed,us,us
2017-06-19T07:02:37.440Z,39.802,-98.282,5,2.9,mb_lg,,64,1.129,0.6,us,us20009nja,2017-06-19T15:43:36.437Z,"6km WNW of Mankato, Kansas",earthquake,4.7,2,0.048,112,reviewed,us,us
2017-06-19T06:14:48.400Z,19.1813333,-155.5965,9.117,2.91,ml,48,65,0.06676,0.25,hv,hv61804791,2017-06-21T20:38:47.067Z,"12km WSW of Pahala, Hawaii",earthquake,0.37,0.59,0.151,30,reviewed,hv,hv
2017-06-19T04:55:37.100Z,38.0842,21.1134,10,4.5,mb,,89,1.339,1.16,us,us20009niz,2017-06-20T17:46:12.170Z,"17km N of Kyllini, Greece",earthquake,6.4,1.9,0.081,44,reviewed,us,us
2017-06-19T04:39:08.840Z,-7.4811,118.3081,570.93,4.7,mb,,50,2.84,1.02,us,us20009nix,2017-06-19T05:34:44.040Z,"90km NNW of Sampungu, Indonesia",earthquake,8.3,5.4,0.066,69,reviewed,us,us
2017-06-19T04:16:34.330Z,-3.6114,-77.1169,105.04,4.6,mb,,112,2.421,0.59,us,us20009nir,2017-06-19T04:35:19.040Z,"142km NNW of Barranca, Peru",earthquake,3.5,9,0.04,189,reviewed,us,us
2017-06-19T03:38:00.540Z,39.0054,70.8398,33.49,4.2,mb,,65,1.05,0.92,us,us20009nim,2017-06-19T03:58:29.040Z,"40km E of Gharm, Tajikistan",earthquake,6.3,1.9,0.084,40,reviewed,us,us
